foerster,wolf,text
F0001,W1,"
Κλεάρχῳ. (372/73 vel 382/84?)
1. Ἔμελλον γράφων δεήσεσθαί σου βοηθῆσαι τῶ χρηστῷ
μέν, πένητι δὲ Φαυστίνῳ, αὐτὰ δὲ ταῦτα ἀρκέσειν ἡγούμην
σοι πρὸς τὴν βοήθειαν, τόν τε  τρόπον τήν τε πενίαν. Κέλσος δὲ ἐπελθὼν καὶ μαθὼν ὃ ποιήσοιμι, πάλαι μέν σε τῆς
βοηθείας εἶπεν ἧφθαι, πρᾶξαι δὲ οὐδὲν ὧν ἐβούλου. 2. ἐγὼ
δὲ ἄλλου μὲν ταῦτα λέγοντος ἀνασχοίμην ἄν, ὅτι βουληθεὶς
οὐκ ἠδυνήθη, Κλέαρχος δὲ μὴ μάθοι τοιαῦτα ἀπολογεῖσθαι.
δεινὸν γὰρ τοῦτό γε καὶ κατηγορία τῆς βουλῆς, εἰ μή σοι πρὸς
αὐτὴν ἀρκοίη καὶ νεῦμα.
"
F0002,W2,"
Ἐλεβίκῳ. (383 vel 387?)
Γράμματα μὲν ὁ χρηστὸς Φλωρεντιανὸς οὐκ ἤνεγκέ μοι
παρὰ σοῦ, γράψαι δέ με πρότερον ἔπεισεν ὀμόσας ἐμὲ φιλεῖσθαι παρὰ σοῦ. καὶ ἐγὼ τῲ μὲν οὐκ ἀπιστήσας, σὲ δὲ θαυμάσας εἰ τὰ ἐπὶ τῆς ἑσπέρας ἐκείνης ῥήματα ὀλίγα φιλίας
ἀρχὴν ἐποιήσω, γέγραφα τοῦ τε φιλεῖσθαι χάριν εἰδὼς καὶ
γράμματα ἀπαιτῶν. εἰ δ’ αὖ καὶ κωλύῃ τῷ πλήθει τῶν πραγμάτων, ἀλλ’ ἔμοιγε μέγα καὶ τὸ φιλεῖσθαι μόνον.
"
F0003,W3,"
Κλεάρχῳ. (372/73 νel 382/84?)
Ἐπὶ τὸν πολλάκις βεβοηθηκότα σε καὶ νῦν Ὀλύμπιος
καταφεύγει σύμμαχον ἐξ ὧν ἤδη τετύχηκεν ἐλπίσας εἰς τὸ
κατορθώσειν ἔχειν.
"
F0004,W4,"
 τῷ αὐτῷ. (372/73 vel 382/84?)
Ὀλυμπίου μὲν οὗτός ἐστι παῖς τοῦ πολλὰ μαθόντος, οἶδε
δὲ καὶ αὐτὸς οὐκ ὀλίγα πρὸς τῷ καὶ στρατιώτης εἶναι φιλίας
δὲ τῆς σῆς ἐπιθυμήσας δι’ ἐμοῦ τοῦ φιλοῦντος ἄμφω τοῦθ
16 αὑτῷ γενέσθαι βουληθεὶς ἔρχεται μετὰ γραμμάτων ἐμῶν, ἐν
οἷς ἔχει τὰς τῆς ἐπιθυμίας ἐλπίδας.
"
F0005,W5,"
Παυλίωῳ. (382/84?)
1. Τοῦ μὴ ἀποθανεῖν με κατακλυσθέντα κακῶν
αἴτιός μοι μετὰ θεὸν Θαλάσσιος. ἡγοῦμαι οὑν καὶ σὲ χάριν
ὀφείλειν αὐτῷ τῆς περὶ ἐμὲ σπουδῆς, ὀφείλων δὲ ἥδιστ’ ἂν
καὶ ἀποδοίης. 2. ἔξεστι δέ σοι μετὰ τῆς τῶν νόμων φυλακῆς
ἀποδοῦναι γῆς ἧς ὑπ’ ἀνδρὸς ἐστέρηται τῶν θρασυτέρων
τινὸς πάλιν αὐτὸν ποιήσαντι δεσπότην. καλὸν δὲ τὸν ἀδικοῦντα μαθεῖν, ὡς ἔστι καὶ ἀπόντα τῶν δικαίων τυχεῖν.
"
F0006,W6,"
Θεμιστίῳ.
Ηβουλήθη σε παρ’ ἡμῶν ὁ Λεόντιος μαθεῖν, ὡς φιλοῖτο
ὑφ’ ἡμῶν. λέγω τοίνυν ὅτι καὶ φιλεῖται καὶ δικαίως χρηστός
τε ὢν καὶ συνετὸς καὶ τῷ τιμᾶν οὓς προσήκει τιμᾶσθαι νομίζων.
"
F0007,W7,"
Ἀρισταινέτῳ.
Σὺ μὲν ἡμᾶς εἶπας κακῶς, ἡμεῖς δὲ καλῶς ἀλλ’ οὔτε σοί
τις οὔτ’ ἐμοὶ πείσεται.
"
F0008,W8,"
Ἰταλικιανῲ. (365?)
1. Ἡμεῖς καὶ ἄνθρωποι καἰ οὐδὲν τῶν γειτόνων ἀμείνους.
μὴ τοίνυν ὕβριζε τὰς εἰκόνας μηδ’, ὅταν ἐπαινῇς, ἀμέλει τοῦ
 μέτρου μηδ’ οὐ φιλεῖσθαι νόμιζε τῷ μὴ πολλά σοι παρ’ ἡμῶν
ἀφικνεῖσθαι γράμματα. τούτου μὲν γὰρ αἴτιον τὸ πολλὰ εἶναι
τὰ πράγματα, φιλεῖν δὲ δύναιτ’ ἂν καὶ μὴ ἐπιστέλλων ἄνθρωπος, ἐπεὶ καὶ σὺ ὃν χρόνον οὐκ ἐπέστελλες ἐφίλεις ἡμᾶς
καὶ εἰ μηδὲ ταῦτα τὰ νῦν ἐπεπόμφεις, ἐφίλεις ἂν καὶ οὕτω.
 2. καίτοι καλὰ μὲν ἔλεγες καὶ ὑπισχνοῦ, τοῖς λόγοις δὲ ἔργον
ἠκολούθησεν οὐδέν ἀλλ’ ὅμως οὐ ποιοῦμαι τοῦτο τοῦ μὴ φιλεῖσθαι σημεῖον, ἀλλ’ ἐμαυτὸν πείθω βουληθέντα σε μὴ δεδυνῆσθαι. βέλτιον γὰρ οἶμαι ταῦτα νομίζειν ἢ πανταχόθεν ζητεῖν ἐγκαλεῖν.
"
F0009,W9,"
 Μαρτινιανῷ. (392?)
1. Αἰσχύνομαι μὲν αἰτῶν σε χάριν οὐδέν σε οὐδέπω εὑ
πεποιηκὼς οὐδὲ ἐλπίζων, ὅμως δέ, ἐπειδήπερ ὑπὲρ παιδὸς ἡ
φροντίς, ἐμοὶ μὲν αἰτεῖν ἀνάγκη, σὺ δὲ σύγγνωθι. 2. δέομαι
20 δή σου δοῦναι ἡμῖν ἀκοῦσαί τι περὶ Ῥωμανοῦ, οὗ φροντὶς
καλόν. τοῦτο δὲ γένοιτ᾿ ἄν ἀπὸ τῆς σῆς εὐνοίας, ἧς εἰ ἀπολαύσειεν, ἔξει τοσοῦτον ὅσον ᾧ πολὺς ἐν τῷ συνδικεῖν ὁ χρόνος,
παρὰ τοῦ χρόνου. χάρις δὲ ἑτέρα. εἰ μέλλων δώσειν ἐκείνην
ἐπιστείλαις ὡς δώσεις.
"
F0010,W10,"
Ἑλλαδίῳ. (353 vel 354?)
Ἀπάτην καλῶν τὴν ἀδυναμίαν ἀδικεῖς. ἔστι δὲ ἐκεῖνο μὲν
τῶν μισουμένων, τοῦτο δὲ τῶν ἐλεουμένων. σὺ δὲ μιγνύεις
τὰ ἄμικτα. ἀτυχήματα καὶ πονηρεύματα. ἐγὼ δὲ ἐρασθῆναι
ὁμολογῶ Βηρυτοῦ μὲν διὰ πολλά, Ἀθηνῶν δὲ διὰ πάντα, δυνηθῆναι δὲ εἰς οὐδετέραν ἐλθεῖν. ἀκούω δὲ καὶ τὴν Ἥραν
δεθῆναι καὶ οὐ κινηθῆναι πρότερον πρὶν ὁ τὸν δεσμὸν μηχανησάμενος ἐλθὼν ἔλυσεν.
"
F0011,W11,"
Ἀραξίῳ. (356 vel 353/54?)
1. Τῆς Παλαιστίνης ἄρχων οὐκ ἠμέλεις τοῦ γράφειν· νῦν
πολλῶν ἄρχων ἐθνῶν ἐπελάθου τοῦ γράφειν. καὶ μακρὰν μὲν
ὢν ἐμνημόνευσας τῶν φίλων, ἐγγὺς δὲ καταστὰς ἀμνημονεῖς.
2. τίς ποτε οὖν ἔσῃ προσλαβὼν ἐξουσίαν καὶ τοὺς γνωρίμους
ὁρῶν; ἡ δῆλον ὡς καὶ τὸ καταμελεῖν ἐπιθήσεις, εἴπερ κατὰ
λόγον τῶν γεγενημένων [ἡ] ῥᾳθυμία χωροίη; ἀlλ’ ὅμως ἡμεῖς
βουλοίμεθ’ ἄν σε τιμιώτερον ἰδεῖν, εἰ καὶ μαστιγώσαις λαβών.
"
